		EMB1
time			mass			escape velocity
--------------------------------------------------------------
0.00000000e+00		4.50527900e-07
1.49228980e+05		4.95580690e-07		3.67757508e+03
9.35867060e+05		5.40633480e-07		3.83042170e+03
1.24889510e+06		5.85686270e-07		4.04327872e+03
2.62647300e+06		6.30739060e-07		4.27965606e+03
3.29658880e+06		6.75791850e-07		4.75242949e+03
4.68187100e+06		7.20844640e-07		3.63625551e+03
7.70333650e+06		7.65897430e-07		4.44248323e+03
1.40623910e+07		8.10950220e-07		5.33565244e+03
1.44269480e+07		1.48674207e-06		4.30694484e+03
1.64315500e+07		1.53179486e-06		5.83421920e+03
1.90299460e+07		1.57684765e-06		6.48420903e+03
2.11949360e+07		1.62190044e-06		5.45477245e+03
2.35549000e+07		1.66695323e-06		7.77006092e+03
2.53812240e+07		1.71200602e-06		4.85570700e+03
2.58278580e+07		1.75705881e-06		6.52705567e+03
2.70312780e+07		1.80211160e-06		6.69336743e+03
3.23998960e+07		1.84716439e-06		5.63022576e+03
3.75655840e+07		1.89221718e-06		6.42164048e+03
3.96966840e+07		1.93726997e-06		5.34971669e+03
4.18630520e+07		1.98232276e-06		8.00474998e+03
4.21695360e+07		2.02737555e-06		1.17463513e+04
4.66002000e+07		2.07242834e-06		7.93024973e+03
